system,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450
1,-3.09691,-2.431798,-4.0,-2.508638,-4.0,-2.886057,-2.142668,-3.30103,-4.0,-4.0,-3.69897,-3.69897,-3.30103,-3.154902,-2.346787,-1.853872,-2.30103,-3.69897,-4.0,-1.692504,-2.136677,-3.69897,-1.647817,-2.408935,-2.886057,-4.0,-2.677781,-3.522879,-2.187087,-1.638272,-1.74958,-4.0,-4.0,-3.30103,-1.742321,-3.69897,-2.080922,-1.79588,-4.0,-3.221849,-4.0,-4.0,-3.30103,-1.5867,-3.522879,-2.886057,-3.045757,-4.0,-3.69897,-3.39794
8manexT3D1N0,-0.326795,-0.599117,-0.05463,-0.67305,-0.470955,-0.294564,-0.500176,-0.633577,-0.521289,-0.145451,-0.378616,-0.489321,-0.511731,-0.17399,-0.148191,-0.555175,-1.052566,-0.521289,-0.770318,-0.384366,-1.174574,-0.325506,-0.270511,-0.638839,-0.319846,-0.494307,-0.370794,-0.585863,-0.255629,-0.245346,-0.435452,-2.070581,-1.640165,-0.533429,-0.753255,-0.375718,-1.071604,-0.48825,-1.29073,-0.719649,-0.278025,-2.79588,-0.888737,-0.214528,-0.279097,-0.356153,-1.649752,-1.057992,-0.818442,-0.320845
acsys8aln2,-0.825068,-0.424928,-0.047789,-0.663941,-0.929593,-0.502794,-0.688034,-0.590236,-0.68382,-0.079355,-0.597567,-0.869666,-0.489723,-0.592099,-0.446967,-0.489723,-0.589391,-0.413638,-0.802168,-0.737312,-1.987163,-0.537452,-0.2498,-0.615288,-0.406825,-0.996539,-0.688458,-0.950394,-0.41533,-0.257432,-0.293965,-2.769551,-1.850781,-0.405055,-1.197911,-1.393619,-1.67162,-0.762708,-0.953895,-1.040482,-0.329383,-2.045757,-1.209012,-0.261378,-1.045275,-0.688458,-0.713768,-1.341035,-0.861382,-0.242604
acsys8alo,-0.676954,-0.398918,-0.046385,-0.672437,-0.547141,-0.349984,-0.626353,-0.68361,-0.774949,-0.099032,-0.514847,-0.397072,-0.529443,-0.686133,-0.374173,-0.538351,-0.523893,-0.450874,-0.664743,-0.404504,-1.777284,-0.490126,-0.2522,-0.628009,-0.346112,-0.866142,-0.682146,-0.616723,-0.487316,-0.407046,-0.331428,-2.148742,-1.49485,-0.403403,-0.858864,-1.119758,-1.546682,-0.694434,-1.117475,-0.770574,-0.246111,-1.856985,-1.346787,-0.271565,-0.824488,-0.449405,-0.114243,-1.759451,-0.869345,-0.244125
acsys8alo2,-0.920819,-0.419417,-0.050415,-0.720105,-0.890084,-0.452471,-0.839231,-0.68382,-0.703554,-0.106849,-0.572676,-0.553152,-0.673459,-0.753255,-0.485718,-0.528708,-0.559091,-0.415217,-0.774949,-0.440932,-1.79588,-0.590405,-0.22614,-0.645315,-0.379136,-0.990549,-0.641875,-0.662341,-0.319755,-0.269541,-0.330218,-2.29243,-1.316053,-0.400226,-1.045757,-1.215383,-1.636388,-0.737549,-1.153663,-0.754487,-0.277942,-1.974694,-1.385103,-0.275724,-1.057992,-0.776245,-0.410609,-1.742321,-0.882729,-0.263126
acsys8amn,-2.113509,-1.246417,-0.036071,-0.708187,-1.195861,-0.309538,-0.592099,-0.841638,-0.699187,-0.098052,-0.779892,-0.752027,-0.576099,-0.594654,-0.442132,-0.48825,-0.468777,-1.344862,-1.146302,-0.34911,-1.235077,-0.477947,-0.201626,-1.339135,-0.597051,-1.318759,-0.754981,-0.897223,-0.88941,-0.321209,-0.546988,-2.19382,-2.05061,-0.443577,-0.9914,-1.759451,-2.107905,-0.784362,-1.774691,-1.218245,-0.209012,-2.60206,-1.164309,-0.198871,-0.512862,-0.53551,-0.602755,-2.161151,-0.927383,-0.232177
acsys8asn,-2.070581,-1.546682,-0.045565,-0.770574,-1.310691,-0.30945,-0.56687,-0.787014,-0.906578,-0.090284,-0.801068,-0.486649,-1.080922,-0.570086,-0.450139,-0.49485,-0.442493,-1.428291,-1.284833,-0.330311,-1.191789,-0.474049,-0.219755,-1.219683,-0.502103,-1.35164,-0.869023,-0.888401,-0.929962,-0.311224,-0.497436,-2.468521,-2.031517,-0.457299,-0.932929,-1.735182,-2.119186,-0.803271,-1.872895,-1.264401,-0.212327,-2.769551,-4.0,-0.177505,-0.45494,-0.527097,-0.780415,-2.537602,-1.051587,-0.235301
AntHoc1,-4.0,-2.638272,-2.309804,-3.221849,-3.221849,-0.745694,-1.379864,-2.455932,-4.0,-3.522879,-2.376751,-4.0,-2.481486,-4.0,-2.823909,-2.022276,-1.171985,-4.0,-1.659556,-1.368556,-2.638272,-2.267606,-0.991826,-1.607303,-2.638272,-4.0,-2.508638,-3.39794,-0.633017,-0.882397,-2.455932,-1.614394,-4.0,-3.522879,-1.628932,-2.346787,-2.568636,-2.167491,-4.0,-3.09691,-1.301899,-4.0,-3.69897,-1.546682,-4.0,-2.221849,-1.504456,-2.769551,-1.422508,-0.47991
apl8c221,-0.73471,-0.398157,-0.05463,-0.672233,-0.491605,-0.324772,-0.417255,-0.570248,-0.629487,-0.084706,-0.327995,-1.079355,-0.389553,-0.796695,-0.280337,-0.443577,-0.513286,-0.325506,-0.813326,-0.360812,-1.66354,-0.595337,-0.161403,-0.583193,-0.41375,-1.508638,-0.510042,-0.477947,-0.747632,-0.207748,-0.332454,-2.677781,-1.44855,-0.594142,-0.54546,-1.189096,-2.065502,-0.84436,-2.267606,-0.59176,-0.225775,-1.393619,-1.367543,-0.060531,-0.609418,-0.486516,-0.164753,-1.55752,-0.757707,-0.230992
