system,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,251,295,252,296,253,297,254,298,255,299,256,257,258,259,260,261,262,263,264,265,266,267,300,268,269
uogTrDwl,0.0609,0.1263,0.3856,0.1703,0.1498,0.3272,0.3026,0.0807,0.4245,0.2909,0.2207,0.4149,0.3524,0.7296,0.5762,0.5095,0.3441,0.67,0.3449,0.021,0.3973,0.1072,0.2353,0.1133,0.1252,0.5084,0.504,0.2526,0.2243,0.5141,0.4738,0.4913,0.5329,0.0137,0.3396,0.1525,0.4334,0.278,0.5491,0.125,0.0406,0.2584,0.2842,0.2679,0.0989,0.4295,0.6555,0.032,0.4669,0.0564
UDInfoWebLES,0.0365,0.0214,0.1237,0.1325,0.1164,0.4859,0.2409,0.095,0.0245,0.1854,0.1281,0.2533,0.1885,0.4579,0.3336,0.3183,0.247,0.3803,0.2322,0.0908,0.201,0.054,0.1425,0.1577,0.0417,0.2501,0.1738,0.2087,0.2112,0.3095,0.298,0.2691,0.4397,0.0001,0.2937,0.3662,0.344,0.0314,0.1925,0.0792,0.0993,0.2342,0.1848,0.24,0.0254,0.277,0.1528,0.1222,0.0449,0.0016
UDInfoWebENT,0.0297,0.0203,0.1272,0.1372,0.2672,0.4438,0.2231,0.0956,0.0425,0.2599,0.1442,0.1983,0.2347,0.3953,0.3129,0.2367,0.2072,0.3713,0.2116,0.0481,0.1547,0.0498,0.1426,0.1626,0.0352,0.2593,0.1547,0.1764,0.182,0.2899,0.2909,0.2867,0.4031,0.0001,0.3373,0.3432,0.3014,0.0312,0.2437,0.0513,0.0492,0.2009,0.1237,0.2421,0.024,0.1995,0.1522,0.0737,0.0322,0.0028
UDInfoWebAX,0.0402,0.0161,0.1219,0.1496,0.1053,0.3766,0.2381,0.0767,0.0245,0.1775,0.1191,0.2408,0.2106,0.4399,0.3326,0.3344,0.264,0.3576,0.2401,0.1,0.1839,0.0192,0.1424,0.1347,0.0369,0.2637,0.1536,0.2336,0.1954,0.3009,0.3095,0.2584,0.4466,0.0001,0.2727,0.3704,0.3594,0.035,0.1746,0.0832,0.0689,0.235,0.197,0.2377,0.0314,0.2768,0.1508,0.1039,0.0403,0.0039
uogTrDuax,0.0498,0.0198,0.1392,0.1348,0.1225,0.4054,0.2341,0.0767,0.0682,0.2848,0.3124,0.2506,0.1676,0.4859,0.4133,0.4032,0.3042,0.4913,0.2305,0.0859,0.264,0.1315,0.2645,0.27,0.1281,0.3357,0.4508,0.232,0.2184,0.4202,0.471,0.4029,0.4074,0.0,0.3002,0.3521,0.4638,0.1463,0.3145,0.1096,0.0517,0.1653,0.2526,0.1501,0.0742,0.3747,0.5201,0.1108,0.3176,0.0358
Terran,0.0198,0.0731,0.1247,0.1251,0.194,0.3188,0.2308,0.0203,0.0007,0.108,0.0506,0.2704,0.3301,0.6286,0.2989,0.2522,0.2918,0.4247,0.2467,0.0039,0.2202,0.0132,0.2199,0.1214,0.0967,0.2936,0.1313,0.1847,0.313,0.315,0.2484,0.2889,0.2878,0.0033,0.2137,0.1036,0.3134,0.0774,0.3475,0.0214,0.0102,0.2328,0.1678,0.1135,0.1168,0.2545,0.1447,0.0166,0.1149,0.0025
uogTrIwa,0.0484,0.1545,0.2519,0.1978,0.1819,0.3803,0.2972,0.0761,0.0314,0.281,0.2523,0.489,0.2517,0.6104,0.5705,0.4595,0.2448,0.6078,0.2786,0.0974,0.2757,0.0991,0.2922,0.0881,0.0844,0.518,0.3601,0.2149,0.125,0.5367,0.2957,0.4432,0.3152,0.0003,0.3421,0.2431,0.4169,0.2714,0.5059,0.1134,0.0572,0.2499,0.3529,0.1875,0.1186,0.4205,0.6298,0.0037,0.3009,0.0237
wistud.runB,0.035,0.0016,0.2155,0.0885,0.1481,0.26,0.2423,0.0632,0.0278,0.307,0.0,0.1918,0.1558,0.4254,0.3263,0.1882,0.1449,0.2465,0.2801,0.0596,0.2936,0.0418,0.0988,0.0863,0.1121,0.1994,0.0841,0.1205,0.3221,0.2515,0.2735,0.273,0.319,0.0005,0.1388,0.2246,0.2682,0.0416,0.3741,0.0663,0.0172,0.1768,0.1951,0.1487,0.0572,0.2056,0.1546,0.1879,0.0426,0.001
wistud.runC,0.035,0.0016,0.2155,0.0885,0.1481,0.26,0.2423,0.0632,0.0278,0.307,0.0,0.1918,0.1558,0.4254,0.3263,0.1882,0.1449,0.2465,0.2801,0.0596,0.2936,0.0418,0.0988,0.0863,0.1121,0.1994,0.0841,0.1205,0.3221,0.2515,0.2735,0.273,0.319,0.0005,0.1388,0.2246,0.2682,0.0416,0.3741,0.0663,0.0172,0.1768,0.1951,0.1487,0.0572,0.2056,0.1546,0.1879,0.0426,0.001
